name,release_date,developer,publisher,platforms,required_age,categories,genres
Cossacks 3,2016-09-20,GSC Game World,GSC Game World,windows;linux,0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Includes level editor;Commentary available,Strategy
Sinking Island,2014-12-05,White Birds Productions,Microids,windows,0,Single-player,Adventure
Replay - VHS is not dead,2015-07-09,Team Replay,Neko Entertainment,windows;mac,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Adventure;Indie
Isbarah,2015-02-25,Leikir Studio,Leikir Studio,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie
Neocolonialism,2014-12-01,"Subaltern Games, LLC","Subaltern Games, LLC",windows;mac;linux,0,Single-player;Multi-player,Indie;Simulation;Strategy
"Slow Down, Bull",2015-04-20,Insomniac Games,Insomniac Games,windows;mac;linux,0,Single-player;Full controller support;Steam Trading Cards,Action;Casual;Indie
Caves of Qud,2015-07-15,Freehold Games,Freehold Games,windows;mac;linux,0,Single-player;Steam Achievements;Steam Workshop;Steam Leaderboards;Includes level editor,Adventure;Indie;RPG;Strategy;Early Access
Pahelika: Revelations HD,2015-03-02,Ironcode Gaming,Ironcode Gaming,windows,0,Single-player;Steam Achievements,Adventure;Casual;Indie;Strategy
Towers of Altrac - Epic Defense Battles,2015-01-05,Jsmael Stieger;Manuel Stieger;Andreas Stieger,Cybertron Design Studios,windows;mac,0,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats,Action;Indie;Strategy
Dark Gates,2015-01-26,DFour Games,DFour Games,windows;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Indie;RPG
Vintage Year,2015-01-02,Nooner Bear Studio,Nooner Bear Studio,windows,0,Single-player;Full controller support;Steam Trading Cards,Action;Indie
